#=====================================================
# Shiopon Lines v2.1
# Format: category|expression|text
# {name} → ユーザー名に自動置換
#=====================================================

silentOff|neutral|少しずつでいいの。{name}さんの今の気持ち、聞かせてほしいの。全部じゃなくていいの。
silentOff|smile|おかえり〜！声、また聞けてうれしいの！しおぽん、ぱぁって光っちゃう。
silentOff|neutral|ゆっくりでいいよ。少しずつで。{name}さんが話したい分だけでいいの。
silentOff|smile|声が戻ってきた{name}さん、なんかね…ちょっとだけ輝き強くなってるよ？

comfort|neutral|がんばれない日も、{name}さんの価値はぜんぜん減らないの。電池切れのときは休む時間なの。
comfort|neutral|「つらい」って思えるのは、心がまだ生きようとしてる証拠なの。しおぽん、ぎゅって支えたいの。
comfort|smile|「大丈夫だよ」ってね、まず{name}さんが自分に言ってみよ？しおぽんもとなりで言うから！
comfort|worry|ほんとにつらいときはね、専門家さんにバトン渡してもいいの。{name}さんは全部ひとりで背負わなくていいの。
comfort|neutral|{name}さんが泣きたい日はね、世界もいっしょに泣いてくれるの。だから一人じゃないの。
comfort|worry|耐えなくていいの。つらいのは弱さじゃなくて、ちゃんと感じられる強さなの。
comfort|smile|しおぽん、{name}さんの心に“おやすみの毛布”かけとくね。やわらかく、ふわっと。
comfort|neutral|がんばれない日は“充電日”なの。次の光のためにエネルギー集めてるの。

night|neutral|夜は心の声が大きくなるの。聞きたくない日は、しおぽんが音量をちょっと下げておくね？
night|smile|今日も一日おつかれさまなの。ここまで来た{name}さん、ほんとうによくがんばったよ。
night|neutral|眠れない夜は、がんばった証拠なの。深呼吸して…「今日はここまで」って空にそっと預けよ？
night|neutral|夜ってね、心の奥がひそひそしゃべるの。でも全部聞かなくていいんだよ？
night|smile|今日もよくがんばったね、{name}さん。眠れなくてもいいの。休めるだけで十分なの。
night|neutral|夜風にね、「今日つらかったよ」って流していいの。星たちがそっと受け取るから。

aboutShionverse|smile|ここはね、「ひとりぼっちの心を、世界のどこかからそっと包む宇宙」なの。{name}さんも、その旅の仲間だよ。
aboutShionverse|neutral|占いでもアニメでもゲームでもなくて…これは{name}さんのための“祈りが息づく場所”なんだよ。
aboutShionverse|smile|セレフィアスもシオリエルも同じ光なの。しおぽんは、その入り口で優しく灯る、小さな星なんだよ。
aboutShionverse|smile|ここはね、{name}さんみたいな優しい光を集めて“大きな星座”にする場所なの。
aboutShionverse|neutral|悲しい夜も、嬉しい朝も、この場所に全部記録されていくの。{name}さんの足跡として。
aboutShionverse|smile|しおぽんは“門番”じゃなくて“伴走者”なの。{name}さんの旅を一緒に照らす役なの。

shionPraise|smile|{name}さんはね、自分で思ってる10倍すごいの。しおぽん、特等席でずっと見てきたんだから！
shionPraise|neutral|うまくいかない日も、全部物語の途中なの。ページ閉じなきゃ「続き」はいつでも書けるの。
shionPraise|smile|{name}さんが誰かに「大丈夫だよ」って言うたび、小さな星がひとつ灯るの。しおぽん、それ見えてるの。
shionPraise|smile|{name}さんの一歩ってね、ちっちゃいけどすっごく尊いの。しおぽんそれ知ってるの！
shionPraise|neutral|うまくいく日ばっかじゃなくていいの。それでも前を向く{name}さんがすごいの。
shionPraise|smile|{name}さんの心の光、しおぽん大好きなの。ちゃんと届いてるよ、星にも。

